Cluster,Top Keywords
Cluster 0,"carr, main intelligence, intelligence directorate, defense ukraine, directorate ministry, defense, pro, hacktivist group, pro ukrainian, hacktivists"
Cluster 1,"ransomware attack, ransomware group, county, launched ransomware, hit ransomware, deployed, municipality, deployed ransomware, cve, actors launched"
Cluster 2,"cve, backdoor, sponsored hacking, lazarus, typhoon, espionage, chinese state, zero, sandworm, zero day"
Cluster 3,"ddos, ddos attack, ddos attacks, launched ddos, conducted ddos, election, hit ddos, ddos vs, actors disrupted, electoral"
Cluster 4,"county, municipality, water, actors breached, town, hall, actors disrupted, town hall, mayor, perpetrators"
Cluster 5,"anonymous vs, defaced, army, government websites, protest, turkish, syrian, hacks, deface, op"
Cluster 6,"cryptocurrency, crypto, funds, lazarus, blockchain, wallet, ethereum, assets, million worth, protocol"
Cluster 7,"apt, backdoor, panda, espionage, aka, sponsored hacking, chinese state, turla, kaspersky, apt28"
Cluster 8,"university, school district, students, ransomware attack, rhysida, ransomware group, schools, college, vice society, classes"
Cluster 9,"espionage, spyware, pegasus, kimsuky, espionage campaign, whatsapp, kitten, pegasus spyware, cyber espionage, sponsored hacking"
Cluster 10,"actors breached, email addresses, records, phone numbers, credit, spanish, actors stole, social security, birth, stole personal"
Cluster 11,"noname057, noname057 16, ddos, pro russian, pro, group noname057, killnet, ddos attack, ddos attacks, sudan"
Cluster 12,"ransomware group, lockbit, ransomware attack, hospital, qilin, medusa, ransomware gang, medical, patients, gang"
Cluster 13,"patient, medical, hospital, patients, healthcare, shinyhunters, clinic, insurance, social security, birth"
Cluster 14,"handala, hacktivist group, water, albanian, hacktivists, group handala, pro, cyber alliance, iranian state, leaked data"
