time,youtube_views,avg_youtube_views,Holidays,Access Control,Activity Monitoring,Anomaly Detection,Solution_APPLICATION WHITELISTING_Mentions,Solution_ATTACK TREE_Mentions,Solution_BEHAVIOR BASED DETECTION_Mentions,Solution_BLACKHOLING_Mentions,Solution_BLACKLISTING_Mentions,Blockchain,CAPTCHA,Solution_CODE SIGNING_Mentions,Solution_CONTINUOUS AUTHENTICATION_Mentions,Solution_Control Flow Integrity_Mentions,Cryptography/Encryption,Solution_DARKNET MONITORING_Mentions,Data Backups,Solution_DATA LEAKAGE DETECTION/PREVENTION_Mentions,Solution_DATA LOSS PREVENTION_Mentions,Solution_DATA PROVENANCE_Mentions,Solution_DECEPTION TECHNOLOGY_Mentions,Distributed Ledgers Technology,Solution_DYNAMIC ANALYSIS_Mentions,Solution_DYNAMIC RESOURCE MANAGEMENT_Mentions,Solution_FILE INTEGRITY MONITORING_Mentions,Solution_FORMAL VERIFICATION_Mentions,Game Theory,Solution_GRAPHICAL AUTHENTICATION_Mentions,Graphical Model,Solution_HONEYPOT_Mentions,Solution_HYPERGAME_Mentions,Solution_IDENTITY MANAGEMENT_Mentions,Solution_Identity-Based Encryption (IBE)_Mentions,Image Recognition,Solution_INTRUSION DETECTION/PREVENTION SYSTEM_Mentions,Solution_KEYSTROKE DYNAMICS_Mentions,Solution_LEAST PRIVILEGE_Mentions,Machine Learning/Deep Learning,Solution_MOVING TARGET DEFENSE_Mentions,Solution_MULTI FACTOR AUTHENTICATION_Mentions,Solution_MUTUAL AUTHENTICATION_Mentions,NLP/LLM,Solution_NETWORK SEGMENTATION_Mentions,Solution_ONE TIME PASSWORD_Mentions,Solution_PACKET FILTERING_Mentions,Solution_PASSWORD HASHING_Mentions,Solution_PASSWORD MANAGEMENT_Mentions,Solution_PATCH MANAGEMENT_Mentions,Penetration Testing,Privacy Preserving,Solution_PUBLIC KEY INFRASTRUCTURE_Mentions,Rank Correlation,Rate Limiting,Risk Assessment,SIEM,SSL/TLS,Sandboxing,Secure Boot,Session Management,Software Defined Network,Source Identification,Standardised Communication,Static Analysis,Solution_HIDDEN MARKOV MODEL_Mentions,Strong Authentication,Supply Chain Risk Management,Traffic Shaping,User Behaviour Analytics,VPN,Virtual Keyboards,Vulnerability Assessment,Vulnerability Management,Vulnerability Scanner,Mentions-Advanced persistent threat,Mentions-Account Hijacking,Mentions-Backdoor,Mentions-Botnet,Mentions-DDoS,Mentions-Disinformation/Misinformation,Mentions-Dropper,Mentions-Insider Threat,Mentions-Malware,Mentions-Password Attack,Mentions-Phishing,Mentions-Ransomware,Mentions-Session Hijacking,Mentions-Targeted Attack,Mentions-Trojan,Mentions-Vulnerability,Mentions-Zero-day,cluster_0_score,cluster_1_score,cluster_2_score,cluster_3_score,cluster_4_score,cluster_5_score,cluster_6_score,cluster_7_score,cluster_8_score,cluster_9_score,cluster_10_score,cluster_11_score,cluster_12_score,cluster_13_score,cluster_14_score,DDoS-ALL,Phishing-ALL,Ransomware-ALL,Password Attack-ALL,Account Hijacking-ALL,Trojan-ALL,Vulnerability-ALL,Zero-day-ALL,Advanced persistent threat-ALL,Malware-ALL,Disinformation/Misinformation-ALL,Targeted Attack-ALL,Brute Force Attack-ALL,Backdoor-ALL,Botnet-ALL,Cryptojacking-ALL,Mentions-Brute Force Attack,Mentions-Cryptojacking,Mentions-MITM,Mentions-DNS Spoofing,Mentions-Adversarial Attack,Mentions-Data Poisoning,Mentions-Deepfake,Mentions-Supply Chain,Mentions-IoT Device Attack,WAR/CONFLICT ALL,Solution_BLOCKCHAIN_Mentions,Solution_ACCESS CONTROL_Mentions,Solution_ENCRYPTION_Mentions,Solution_SUPPLY CHAIN RISK MANAGEMENT_Mentions,Solution_ML/DL_Mentions,Solution_ANOMALY DETECTION_Mentions,Solution_CRYPTOGRAPHY_Mentions,Solution_PENETRATION TESTING_Mentions,Solution_IDS/IPS_Mentions,Solution_STATIC ANALYSIS_Mentions,Solution_SESSION MANAGEMENT_Mentions,Solution_CAPTCHA_Mentions,Solution_RATE LIMITING_Mentions,Solution_GRAPHICAL MODEL_Mentions,Solution_SOFTWARE DEFINED NETWORK_Mentions,Solution_GAME THEORY_Mentions,Solution_TRAFFIC SHAPING_Mentions,Solution_RANK CORRELATION_Mentions,Solution_STRONG AUTHENTICATION_Mentions,Solution_SSL/TLS_Mentions,Solution_HTTPS_Mentions,Solution_DATA SANITIZATION_Mentions,Solution_OUTLIER DETECTION_Mentions,Solution_ADVERSARIAL TRAINING_Mentions,Solution_TRUSTWORTHY AI_Mentions,Solution_Bayesian Network_Mentions,Solution_SPLIT MANUFACTURING_Mentions,Solution_VULNERABILITY MANAGEMENT_Mentions,Solution_VPN_Mentions,Solution_PRIVACY PRESERVING_Mentions,Solution_SECURE BOOT_Mentions,Solution_MERKLE SIGNATURE_Mentions,Solution_LIVENESS DETECTION_Mentions,Solution_3D FACE RECONSTRUCTION_Mentions,Solution_BIOMETRICS_Mentions,Solution_DIGITAL WATERMARK_Mentions,Solution_DATA BACKUPS_Mentions,Solution_DATA AUGMENTATION_Mentions,Solution_DIMENSIONALITY REDUCTION_Mentions,Solution_DEFENSIVE DISTILLATION_Mentions,Solution_RRAM_Mentions,Solution_SPATIAL SMOOTHING_Mentions,Solution_NOISE INJECTION_Mentions,Solution_TAINT ANALYSIS_Mentions,Solution_USER BEHAVIOR ANALYTICS_Mentions,Solution_RISK ASSESSMENT_Mentions,Solution_SANDBOXING_Mentions,Solution_VIRTUAL KEYBOARDS_Mentions,Solution_DYNAMIC BINARY INSTRUMENTATION_Mentions,Solution_DNSSEC_Mentions,Solution_CERTIFICATE PINNING_Mentions,Solution_SECURE SIMPLE PAIRING_Mentions,Solution_VULNERABILITY ASSESSMENT_Mentions,Solution_SIEM_Mentions,Solution_STANDARDIZED COMMUNICATION_Mentions,Solution_VULNERABILITY SCANNER_Mentions,Solution_PASSWORD STRENGTH METERS_Mentions,Solution_PASSWORD POLICY_Mentions,Solution_ACTIVITY MONITORING_Mentions,Solution_DISTRIBUTED LEDGERS_Mentions,Solution_SOURCE IDENTIFICATION_Mentions,Solution_IMAGE RECOGNITION_Mentions,Solution_NLP/LLM_Mentions
2012-01,6000215327,166672648,73,11.48214286,43.92857143,62.94642857,0,0,0,21,2,71.875,0.517857143,0,0,0,22.28571429,0,2.875,0,0,0,0,5.303571429,13,0,0,0,18.83928571,0,14.91071429,15,0,11,16,38.30357143,6.785714286,0,0,3677.517857,0,3,21,243.625,0,0,0,0,0,0,2.178571429,23.35714286,4,691.4821429,31.08928571,5470.946429,0.625,1.357142857,0.214285714,0.375,0.410714286,0.982142857,34.53571429,2.857142857,8.071428571,8,0.125,1.767857143,0.196428571,0.303571429,1.071428571,0.464285714,17.80357143,0.875,0.142857143,0,0,0,46,58,1,0,2,371,76,28,0,2,4,2,10558,5,70,0,0,0,0,60,0,36,0,135,19,10,0,0,39,36,7,0,46,2,3,2,1,4,13,1,0,0,2,0,0,7,0,22,0,0,0,0,5,0,9674,0,115,240,0,12,13,232,0,47,3,1,0,0,0,0,23,0,0,0,19,3,0,0,0,0,7,0,0,15,37,0,0,9,0,79,0,1,0,0,0,0,0,0,8,0,92,2,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,1
2012-02,6000215327,166672648,16,11.48214286,43.92857143,62.94642857,0,0,0,2,0,71.875,0.517857143,0,0,0,22.28571429,0,2.875,0,0,0,0,5.303571429,1,0,0,4,18.83928571,0,14.91071429,5,0,6,20,38.30357143,6.785714286,6,0,3677.517857,0,3,16,243.625,0,0,0,0,0,0,2.178571429,23.35714286,9,691.4821429,31.08928571,5470.946429,0.625,1.357142857,0.214285714,0.375,0.410714286,0.982142857,34.53571429,2.857142857,8.071428571,0,0.125,1.767857143,0.196428571,0.303571429,1.071428571,0.464285714,17.80357143,0.875,0.142857143,0,0,0,14,28,0,0,0,293,20,12,0,6,1,0,1102,0,0,0,8,19,0,50,0,0,0,1,0,0,0,0,9,8,1,0,30,1,0,4,0,0,4,0,0,0,0,0,0,2,0,8,0,0,0,0,1,0,13867,0,49,210,2,3,6,124,0,55,0,0,11,0,3,0,22,3,0,2,0,0,0,0,0,0,16,0,0,0,13,0,0,0,0,49,0,0,0,3,0,0,0,0,0,0,58,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2012-03,6000215327,166672648,18,11.48214286,43.92857143,62.94642857,0,0,0,6,0,71.875,0.517857143,0,0,0,22.28571429,0,2.875,4,0,0,0,5.303571429,2,0,0,1,18.83928571,0,14.91071429,6,0,0,22,38.30357143,6.785714286,0,0,3677.517857,0,0,22,243.625,0,0,0,0,0,0,2.178571429,23.35714286,7,691.4821429,31.08928571,5470.946429,0.625,1.357142857,0.214285714,0.375,0.410714286,0.982142857,34.53571429,2.857142857,8.071428571,2,0.125,1.767857143,0.196428571,0.303571429,1.071428571,0.464285714,17.80357143,0.875,0.142857143,2,0,0,38,45,1,0,15,182,29,21,0,0,4,0,1207,0,9,0,0,0,0,50,0,0,0,0,0,0,0,0,10,6,2,0,26,15,3,2,0,1,6,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,9593,0,72,232,1,7,14,131,0,47,2,0,17,1,0,0,12,0,0,0,24,0,0,0,0,0,1,0,0,8,62,0,0,0,0,70,0,0,0,3,0,0,0,0,0,0,63,2,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0
2012-04,6000215327,166672648,64,11.48214286,43.92857143,62.94642857,0,0,0,2,1,71.875,0.517857143,0,0,0,22.28571429,0,2.875,0,0,0,0,5.303571429,3,0,0,4,18.83928571,0,14.91071429,3,0,0,34,38.30357143,6.785714286,0,0,3677.517857,0,0,24,243.625,0,2,0,0,0,0,2.178571429,23.35714286,4,691.4821429,31.08928571,5470.946429,0.625,1.357142857,0.214285714,0.375,0.410714286,0.982142857,34.53571429,2.857142857,8.071428571,4,0.125,1.767857143,0.196428571,0.303571429,1.071428571,0.464285714,17.80357143,0.875,0.142857143,1,0,0,46,18,2,0,12,242,48,31,0,0,2,6,2385,5,18,0,18,29,0,30,0,0,0,0,0,0,0,0,0,58,0,0,16,1,0,3,2,0,7,0,0,0,0,1,0,3,0,9,0,0,0,0,1,0,6335,0,139,198,0,2,17,130,0,54,2,0,11,0,0,0,8,0,0,0,0,0,0,2,0,0,15,0,0,2,33,0,0,0,0,58,0,0,0,3,0,0,0,2,3,0,68,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2012-05,6000215327,166672648,59,11.48214286,43.92857143,62.94642857,0,0,4,0,1,71.875,0.517857143,6,0,0,22.28571429,0,2.875,0,0,0,0,5.303571429,3,0,0,3,18.83928571,0,14.91071429,0,0,0,12,38.30357143,6.785714286,2,1,3677.517857,0,0,14,243.625,0,4,0,0,0,0,2.178571429,23.35714286,12,691.4821429,31.08928571,5470.946429,0.625,1.357142857,0.214285714,0.375,0.410714286,0.982142857,34.53571429,2.857142857,8.071428571,0,0.125,1.767857143,0.196428571,0.303571429,1.071428571,0.464285714,17.80357143,0.875,0.142857143,1,0,0,25,35,5,0,0,224,50,7,0,1,1,2,3359,0,0,0,8,0,0,20,0,0,0,1,0,0,0,0,0,35,1,0,29,3,0,1,0,3,4,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,11837,0,66,203,0,6,17,108,0,30,2,0,0,0,0,0,9,0,9,0,0,0,0,3,0,0,1,0,0,0,29,0,0,0,0,74,0,0,0,0,0,0,0,0,1,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
2012-06,6000215327,166672648,25,11.48214286,43.92857143,62.94642857,0,4,6,0,1,71.875,0.517857143,0,0,0,22.28571429,0,2.875,0,0,0,0,5.303571429,0,0,0,14,18.83928571,0,14.91071429,2,0,5,12,38.30357143,6.785714286,0,9,3677.517857,0,0,4,243.625,0,0,0,0,0,0,2.178571429,23.35714286,13,691.4821429,31.08928571,5470.946429,0.625,1.357142857,0.214285714,0.375,0.410714286,0.982142857,34.53571429,2.857142857,8.071428571,0,0.125,1.767857143,0.196428571,0.303571429,1.071428571,0.464285714,17.80357143,0.875,0.142857143,0,0,0,36,47,0,0,4,172,22,23,0,4,6,2,1209,0,0,0,0,0,0,50,0,0,0,0,9,0,0,0,9,12,1,0,29,4,0,53,51,1,4,0,0,0,1,0,0,8,0,11,0,0,0,0,4,0,10429,0,78,156,1,12,6,128,0,40,9,1,0,0,0,0,7,0,0,0,0,5,0,4,0,0,2,0,0,0,36,0,0,0,0,76,2,0,0,1,0,0,4,0,0,0,43,0,0,0,0,0,4,4,0,0,0,0,2,2,0,0,0,0
2012-07,6000215327,166672648,12,11.48214286,43.92857143,62.94642857,0,0,0,2,2,71.875,0.517857143,0,0,0,22.28571429,0,2.875,0,0,0,0,5.303571429,2,0,0,17,18.83928571,0,14.91071429,4,0,21,14,38.30357143,6.785714286,0,1,3677.517857,0,0,23,243.625,0,0,0,0,0,0,2.178571429,23.35714286,5,691.4821429,31.08928571,5470.946429,0.625,1.357142857,0.214285714,0.375,0.410714286,0.982142857,34.53571429,2.857142857,8.071428571,0,0.125,1.767857143,0.196428571,0.303571429,1.071428571,0.464285714,17.80357143,0.875,0.142857143,1,0,1,5,35,0,0,4,175,27,5,0,0,1,3,2659,2,9,0,0,0,0,30,0,0,0,0,0,0,0,10,0,2,0,0,61,0,1,1,0,3,2,0,0,0,0,0,0,8,0,7,0,0,0,0,4,0,8529,0,98,231,0,3,28,156,0,80,0,1,0,0,0,0,14,0,0,0,0,0,0,2,0,0,3,0,0,1,16,0,0,7,0,45,0,0,0,1,0,0,1,0,0,0,69,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4
2012-08,6000215327,166672648,36,11.48214286,43.92857143,62.94642857,0,4,0,6,2,71.875,0.517857143,0,0,0,22.28571429,0,2.875,0,0,0,0,5.303571429,5,0,1,0,18.83928571,0,14.91071429,4,0,10,8,38.30357143,6.785714286,0,0,3677.517857,0,0,13,243.625,0,0,5,0,0,0,2.178571429,23.35714286,0,691.4821429,31.08928571,5470.946429,0.625,1.357142857,0.214285714,0.375,0.410714286,0.982142857,34.53571429,2.857142857,8.071428571,3,0.125,1.767857143,0.196428571,0.303571429,1.071428571,0.464285714,17.80357143,0.875,0.142857143,0,0,0,28,37,0,0,16,211,47,9,0,0,3,1,1551,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,15,0,0,26,2,1,1,0,2,9,0,0,0,0,1,0,3,0,6,0,1,0,0,0,0,10771,0,39,111,0,7,5,106,3,30,2,0,5,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,52,2,2,0,2,0,0,0,0,0,0,52,0,0,0,0,0,0,5,4,0,1,0,0,0,0,0,0,1
2012-09,6000215327,166672648,25,11.48214286,43.92857143,62.94642857,0,1,2,8,0,71.875,0.517857143,0,0,0,22.28571429,0,2.875,0,0,0,0,5.303571429,8,0,0,0,18.83928571,0,14.91071429,0,0,0,24,38.30357143,6.785714286,0,0,3677.517857,0,0,17,243.625,0,0,1,0,0,0,2.178571429,23.35714286,11,691.4821429,31.08928571,5470.946429,0.625,1.357142857,0.214285714,0.375,0.410714286,0.982142857,34.53571429,2.857142857,8.071428571,5,0.125,1.767857143,0.196428571,0.303571429,1.071428571,0.464285714,17.80357143,0.875,0.142857143,1,0,0,22,42,0,0,0,144,24,17,0,0,1,0,3700,4,9,0,0,0,0,89,0,0,10,0,0,0,0,0,10,15,1,0,33,3,37,1,0,0,45,0,43,0,1,0,0,6,0,3,0,1,0,0,6,0,12298,0,85,330,0,11,15,178,0,90,5,0,0,0,0,0,11,0,0,2,4,2,0,0,0,0,8,0,4,10,44,0,0,0,0,69,2,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,5,2,0,0,0,0,2,0,0,1,0
2012-10,6000215327,166672648,50,11.48214286,43.92857143,62.94642857,0,3,0,3,0,71.875,0.517857143,0,0,0,22.28571429,0,2.875,0,2,0,0,5.303571429,2,0,0,1,18.83928571,0,14.91071429,2,0,10,6,38.30357143,6.785714286,0,0,3677.517857,0,0,8,243.625,0,0,2,0,0,0,2.178571429,23.35714286,4,691.4821429,31.08928571,5470.946429,0.625,1.357142857,0.214285714,0.375,0.410714286,0.982142857,34.53571429,2.857142857,8.071428571,0,0.125,1.767857143,0.196428571,0.303571429,1.071428571,0.464285714,17.80357143,0.875,0.142857143,0,0,0,13,31,0,0,0,165,25,36,0,0,3,11,2830,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,19,15,0,0,51,3,1,2,0,0,5,0,2,0,0,0,0,12,0,23,0,0,0,0,4,1,15032,0,75,181,0,5,7,159,0,56,4,0,0,0,0,0,5,0,0,2,0,2,0,0,0,0,5,0,0,0,16,0,0,0,0,58,5,0,0,0,0,0,0,0,0,0,66,0,0,2,0,0,0,1,8,0,0,0,0,0,0,0,2,0
2012-11,6000215327,166672648,29,11.48214286,43.92857143,62.94642857,0,0,0,2,0,71.875,0.517857143,0,0,0,22.28571429,0,2.875,0,3,0,0,5.303571429,0,0,0,0,18.83928571,0,14.91071429,2,0,0,20,38.30357143,6.785714286,0,1,3677.517857,0,0,22,243.625,0,0,0,0,0,0,2.178571429,23.35714286,5,691.4821429,31.08928571,5470.946429,0.625,1.357142857,0.214285714,0.375,0.410714286,0.982142857,34.53571429,2.857142857,8.071428571,0,0.125,1.767857143,0.196428571,0.303571429,1.071428571,0.464285714,17.80357143,0.875,0.142857143,1,0,0,16,25,0,0,2,193,30,5,0,0,3,0,1480,1,0,0,0,0,0,60,0,0,0,0,0,9,0,0,0,7,1,0,59,1,0,4,1,0,10,0,7,0,0,0,0,2,0,4,0,0,0,0,0,0,18681,0,67,180,0,4,5,157,0,40,2,0,0,0,1,0,7,0,0,0,5,1,0,3,0,0,5,0,0,3,17,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,4
